"","SSD","MSD","df","sigma2","P.value","Variance coefficients"
"site",14621.3283100965,7310.66415504826,2,"216.0311276043","0","28.34375"
"Error",110440.46502729,1187.53188201388,93,"1187.53188201388",NA,""
"Total",125061.793337387,1316.43992986723,95,"","",""
