X,pop1,pop2,phiST,p,km,hab
1,Curlew_D,Curlew_S,0.0667689589171045,0,0.172476603224424,DS
2,Curlew_D,Lynch_D,0.101874162357352,0,14.7038675614939,DD
3,Curlew_D,Lynch_S,0.12531843344192,0,14.8030665173556,DS
4,Curlew_D,Niles_D,0.132477472954113,0,29.0698477983028,DD
5,Curlew_D,Niles_S,0.140100060588881,0,29.2022769592582,DS
6,Curlew_D,West_D,0.148916805238135,0,17.996832141895,DD
7,Curlew_D,West_S,0.0797806262400989,0,18.059459291204,DS
8,Curlew_S,Lynch_D,0.105083287737929,0,14.5535736494723,SD
9,Curlew_S,Lynch_S,0.116522503724146,0,14.6535015875313,SS
10,Curlew_S,Niles_D,0.123410983445486,0,28.8974343884995,SD
11,Curlew_S,Niles_S,0.130240986482428,0,29.0298610536183,SS
12,Curlew_S,West_D,0.144039862822275,0,17.8328173051223,SD
13,Curlew_S,West_S,0.0805836502574963,0,17.8959985149463,SS
14,Lynch_D,Lynch_S,0.0476862214987537,0,0.160199901504671,DS
15,Lynch_D,Niles_D,0.0924515695065285,0,17.4394390022115,DD
16,Lynch_D,Niles_S,0.103846325655069,0,17.567484085006,DS
17,Lynch_D,West_D,0.0890471794584792,0,4.58947977761831,DD
18,Lynch_D,West_S,0.0360934090708042,0,4.52601068005233,DS
19,Lynch_S,Niles_D,0.0840043338633179,0,17.4753622677169,SD
20,Lynch_S,Niles_S,0.101188320339432,0,17.6030702606272,SS
21,Lynch_S,West_D,0.0929229295095447,0,4.62560676545272,SD
22,Lynch_S,West_S,0.0433737125877249,0,4.55589503480522,SS
23,Niles_D,Niles_S,0.048290530527624,0,0.133353757552415,DS
24,Niles_D,West_D,0.119460980371387,0,12.8503493158198,DD
25,Niles_D,West_S,0.0699610335862192,0,12.9215000110294,DS
26,Niles_S,West_D,0.135892216240952,0,12.978259483521,SD
27,Niles_S,West_S,0.0842926828552803,0,13.0488720171576,SS
28,West_D,West_S,0.0795385849336395,0,0.193945505888691,DS
