"","SSD","MSD","df","sigma2","P.value","Variance coefficients"
"site",11086.2419721363,3695.41399071211,3,"136.243484236619","0","20.2626262626263"
"Error",88802.5029462111,934.763188907486,95,"934.763188907486",NA,""
"Total",99888.7449183475,1019.27290733008,98,"","",""
