"","Curlew_D","Curlew_S","Lynch_D","Lynch_S","Niles_D","Niles_S","West_D","West_S"
"Curlew_D",NA,0.00383086133448764,0.00374401696560701,0.00460327888757679,0.00499315093699012,0.00541492187758394,0.00561026274280024,0.00357478456504269
"Curlew_S",0.00383086133448764,NA,0.0055751929017182,0.00624075458497978,0.00512398466841464,0.0047618920027283,0.0048923712864195,0.00421737941937627
"Lynch_D",0.00374401696560701,0.0055751929017182,NA,0.00195511103145176,0.00350339042641551,0.00400181923609215,0.0033565391263163,0.00195459339463259
"Lynch_S",0.00460327888757679,0.00624075458497978,0.00195511103145176,NA,0.004061351648896,0.00486474882533751,0.00441614607237494,0.0024711534649799
"Niles_D",0.00499315093699012,0.00512398466841464,0.00350339042641551,0.004061351648896,NA,0.000954508441107612,0.0023682837047039,0.00254685220045784
"Niles_S",0.00541492187758394,0.0047618920027283,0.00400181923609215,0.00486474882533751,0.000954508441107612,NA,0.00187894147318529,0.00267827022595852
"West_D",0.00561026274280024,0.0048923712864195,0.0033565391263163,0.00441614607237494,0.0023682837047039,0.00187894147318529,NA,0.00230026097461117
"West_S",0.00357478456504269,0.00421737941937627,0.00195459339463259,0.0024711534649799,0.00254685220045784,0.00267827022595852,0.00230026097461117,NA
