indA	indB	adult.seed	data/ngsRelateFiles/268adults99seeds50perc_newres.gz	data/ngsRelateFiles/268adults99seeds80perc_newres.gz	data/ngsRelateFiles/268adults99seeds90perc_newres.gz	data/ngsRelateFiles/268adults99seeds95perc_newres.gz
LS2_06A	LS2_08A	AA	0.871817	0.901373	0.919295	0.940294
LS2_07A	LS2_08A	AA	0.848892	0.896406	0.908328	0.917225
LS3_03A	LS3_13A	AA	0.850116	0.87526	0.892892	0.867503
LS3_09A	LS3_10A	AA	0.74054	0.773255	0.798813	0.808538
LS3_11A	LS3_14A	AA	0.865146	0.894018	0.909899	0.914009
ND1_01A	ND1_03A	AA	0.82946	0.866152	0.892709	0.918769
ND1_01A	ND3_01S	AS	0.77488	0.811506	0.829967	0.836881
ND1_03A	ND3_01S	AS	0.796265	0.825575	0.85312	0.85786
ND3_01A	ND3_03A	AA	0.803282	0.832053	0.851272	0.87511
ND3_01A	ND3_04A	AA	0.755082	0.768219	0.798513	0.830635
ND3_01A	ND3_13A	AA	NA	0.735358	0.782503	0.791354
ND3_03A	ND3_04A	AA	0.78569	0.821825	0.844727	0.849178
ND3_03A	ND3_13A	AA	0.738447	0.777994	0.807089	0.813916
ND3_04A	ND3_13A	AA	0.743672	0.770612	0.794177	0.769916
ND3_05A	ND3_14A	AA	0.806688	0.843984	0.861583	0.867512
NS2_04A	NS2_13A	AA	0.707493	0.724213	0.746618	0.732938
NS2_06A	NS2_07A	AA	0.874586	0.911974	0.921332	0.927789
NS3_01A	NS3_15A	AA	0.836365	0.873792	0.894003	0.901852
NS3_07A	WS3_17S	AS	0.857379	0.856478	0.841866	0.855537
WD1_12A	WD1_13A	AA	0.802069	0.838002	0.841644	0.844459
WD2_09A	WD2_11A	AA	0.756791	0.774707	0.792585	0.759437
WS2_01A	WS2_11A	AA	0.781626	0.79217	0.798378	0.775757
WS2_01A	WS2_12A	AA	0.813985	0.833643	0.866971	0.840796
WS2_02S	WS2_14S	SS	NA	NA	NA	0.72206
WS2_02S	WS3_03A	AS	0.774987	0.799526	0.819605	0.798791
WS2_02S	WS3_04A	AS	0.758952	0.775245	0.78797	0.806128
WS2_02S	WS3_05A	AS	0.746697	0.77276	0.796329	0.823466
WS2_02S	WS3_13A	AS	0.746441	0.764455	0.788118	0.787188
WS2_07A	WS2_15A	AA	0.798196	0.837689	0.847428	0.772686
WS2_11A	WS2_12A	AA	0.841183	0.861666	0.863827	0.779625
WS2_14S	WS3_03A	AS	NA	0.744278	0.752497	0.760078
WS2_14S	WS3_04A	AS	0.726475	0.735126	0.746295	0.78792
WS2_14S	WS3_05A	AS	0.740959	0.755323	0.760063	0.77108
WS2_14S	WS3_13A	AS	0.721891	0.749566	0.753015	0.778917
WS2_21S	WS3_13A	AS	NA	0.717726	0.709222	0.7894
WS3_03A	WS3_04A	AA	0.878181	0.899871	0.905127	0.865598
WS3_03A	WS3_05A	AA	0.848617	0.879426	0.875012	0.886551
WS3_03A	WS3_13A	AA	0.82643	0.859082	0.868455	0.863036
WS3_04A	WS3_05A	AA	0.882419	0.884446	0.87854	0.850209
WS3_04A	WS3_13A	AA	0.852643	0.86341	0.871134	0.83154
WS3_05A	WS3_13A	AA	0.843728	0.868178	0.865607	0.843981
WS3_06A	WS3_07A	AA	0.826085	0.844642	0.855408	0.867363
WS3_11A	WS3_12A	AA	0.83601	0.846262	0.851078	0.815925
WS3_17S	WS3_18S	SS	NA	NA	NA	0.705708
