"","pop1","pop2","phiST","p"
"1","Curlew","Lynch",0.153794601736422,0
"2","Curlew","Niles",0.179901165211148,0
"3","Curlew","West",0.121628488560403,0
"4","Lynch","Niles",0.088738047300269,0.001
"5","Lynch","West",0.0424793582235986,0.047
"6","Niles","West",0.119027389042924,0
