"","SSD","MSD","df","sigma2","P.value","Variance coefficients"
"site",35286.5076762691,17643.2538381346,2,"559.548676257485","0","26.5934065934066"
"Error",243139.457582282,2762.94838161684,88,"2762.94838161684",NA,""
"Total",278425.965258551,3093.62183620612,90,"","",""
