"","SSD","MSD","df","sigma2","P.value","Variance coefficients"
"site",30952.7661865992,10317.5887288664,3,"360.904762535267","0","20.2626262626263"
"Error",285447.488875178,3004.7104092124,95,"3004.7104092124",NA,""
"Total",316400.255061777,3228.57403124262,98,"","",""
